x,y,z,radius
1.076627332333043530e+00,3.680247604684783180e-01,5.639736151418914822e-01,1.542101900002659787e-01
6.704944496853646463e-01,1.845742511596936142e+00,1.983431735621464576e+00,1.861168618057692792e-01
1.975826168211413769e+00,1.774589866707476427e+00,6.390855964340644846e-01,1.809622813724886536e-01
1.720243078606349618e+00,8.714966091563636219e-02,7.662119696544196223e-01,1.586725190357525239e-01
8.447908065676945633e-02,5.962354843566464169e-02,1.009521301688702660e-01,1.586217469848607564e-01
1.987079407455042634e+00,9.800489195821171506e-02,1.364662804572751797e+00,1.769487732744191855e-01
1.043412263963130915e+00,4.086532970950169652e-01,1.988260292388071226e+00,1.574009762422872993e-01
1.639951352724388078e+00,9.139405453840228066e-01,1.496439460281704603e+00,1.567962627122925501e-01
1.622456160894267363e+00,4.026140934191570486e-01,5.566721007259554099e-01,1.738937468683866561e-01
4.435143419824929545e-01,1.888688866823666546e+00,1.219416791723687554e+00,1.700851913693904593e-01
7.807943364266254349e-01,5.021970476007202588e-01,1.545300402579978805e+00,1.582112896579641326e-01
4.004854489618280833e-01,1.977400456885339386e+00,5.419112207130052372e-01,1.632195013848758702e-01
7.314830099079916437e-02,8.648443288678689944e-01,9.151990083543863896e-01,1.718089633255932835e-01
1.896548746114992134e+00,1.336680186714823027e+00,1.985505748598836551e+00,1.669956898018037095e-01
1.898995261256767320e+00,1.030434227043399931e+00,6.491743765544251143e-01,1.554505745698009089e-01
1.284524953214746246e+00,4.019480404489649689e-02,1.459659548319680811e+00,1.647328649190111793e-01
7.571241460427969860e-01,5.702205099069614924e-01,9.651703517438590119e-01,1.582880370676048587e-01
1.087067544299436195e+00,8.695626502577041839e-01,2.850040870641825652e-01,1.603458111256383656e-01
7.081125114319279934e-01,1.500229804325230454e+00,9.313377629059959029e-01,1.547312168229854346e-01
2.558721340768133068e-02,1.566344713190999771e+00,8.168036510769380865e-01,1.689209784379193668e-01
1.621159284169922055e+00,1.637744301049174567e+00,1.998270301691859263e+00,1.536450258892578524e-01
1.618027564012243680e+00,1.903592937105187399e+00,1.306027384163811922e+00,1.536557104471278912e-01
1.993757263514345457e+00,1.503173146367103863e+00,1.409614773845535352e+00,1.518924325467891079e-01
3.778762772694119199e-01,1.026798029405345147e+00,1.589005170404789169e-02,1.576106347786669359e-01
7.788432240616758317e-01,1.237453255547843689e+00,1.182812271257563275e+00,1.649420144500284291e-01
1.973909196204449046e+00,7.515093535112815637e-02,1.005186298066012229e+00,1.512405655489756917e-01
1.990404801131983703e+00,1.928429856864628755e+00,1.969550752747835531e+00,1.500235295170575522e-01
5.757667532648159670e-01,4.141583069177454113e-01,3.795385657238175003e-01,1.501556008977854018e-01
1.351358110267564916e+00,1.180633803538875259e+00,1.501934764189545746e+00,1.665174577576059856e-01
1.973215801639246925e+00,1.560523677003506915e+00,1.073945695773387055e+00,1.514394744458414932e-01
1.572969154396954838e+00,9.284103572978130714e-01,3.684860514761484906e-01,1.540694663604840753e-01
5.830367283670769840e-01,1.357556650379091234e+00,5.641964832272394759e-02,1.501429915911179080e-01
1.343638019007177054e+00,1.207065794261068969e+00,1.102549417757467509e+00,1.560964825139998513e-01
4.909419603983182778e-01,1.092730855455251948e+00,3.234283247545188811e-01,1.512660051441729603e-01
5.280051173116008245e-01,1.348809436693769293e+00,1.928091027975971317e+00,1.663408056215791575e-01
1.948875745703926743e+00,6.080713722724080394e-01,1.382471523895272059e+00,1.681470267356718895e-01
5.253657247149045029e-01,4.485959704499831169e-01,1.308471931845171854e+00,1.578104265607319645e-01
8.251566506927180411e-01,1.702805888718005534e+00,5.678157995181543072e-01,1.553497380919346416e-01
1.468078281975793153e-02,1.591050028525413218e+00,4.241010433977379090e-01,1.519995939861564227e-01
1.416617825541833797e+00,2.665642273653852090e-01,1.716003743476628651e+00,1.622596836965678468e-01
1.172868380536451260e+00,1.691832215752206992e-01,1.080066081383052934e+00,1.644938966324619167e-01
1.359473603091734706e+00,1.035734417557424125e+00,5.519575410380527652e-02,1.512394544262526674e-01
